"L2p0vO3fsS2LC6hhQo3CzA","Breakfast & Brunch","1.7943727","Home Services","1.1719952","American (Traditional)","1.0727763"
"AhPmh0NaRDbEYyhd9egzLA","Caterers","1.8737181","Mexican","1.0413859","Event Planning & Services","0.6194744"
"cTJjTKz2huGZElScC2pSw","Breakfast & Brunch","0.86465013","American (New)","0.63412577","American (Traditional)","0.62656415"
"pSQFynH1VxkfSmehRXlZWw","Pizza","1.7091719","Venues & Event Spaces","0.93759596","Event Planning & Services","0.82743657"
"uSJ5QUwrNquL9VnXwl8cg","Venues & Event Spaces","1.2097858","Nightlife","1.1258526","Event Planning & Services","0.7449647"
"mPfdYJj4d5KBPINDkaZYQ","Bakeries","2.0122273","Coffee & Tea","1.0334556","Venues & Event Spaces","0.78593725"
"CX86HjLmfK8ix0xe5LwiA","Arts & Entertainment","1.3480909","Nightlife","1.3441648","Event Planning & Services","1.0528994"
"3C5Z9homtzkWHouH2BHXYQ","Venues & Event Spaces","0.88418895","Mexican","0.80972064","American (Traditional)","0.7954822"
"ALn0fUsn3n0a9WBcjhhg","Venues & Event Spaces","2.6973343","Nightlife","1.3441648","Event Planning & Services","1.0573959"
"z6reuC5BYfRth9gMBfgQ","Venues & Event Spaces","1.192481","Event Planning & Services","1.059709","Breakfast & Brunch","0.9654198"
"E4JyAzB52quptwtemyhYA","Breakfast & Brunch","1.8327919","Bakeries","1.785275","Cafes","1.2296718"
"ZJkVkaUcN4ITVeuG4Qtw","Breakfast & Brunch","1.3631346","Nightlife","1.3441648","Venues & Event Spaces","1.1397417"
"SoLPRdhlyL5HAknBKTUcQ","Japanese","1.5674266","Arts & Entertainment","0.75097823","Asian Fusion","0.7412983"
"ukCTLs6T8LY1eUBXiAlmCg","Steakhouses","2.4476383","Venues & Event Spaces","1.0419568","Seafood","0.9861412"
"Ht7HiGBox8lS1Y8IPjO8g","Breakfast & Brunch","1.0887065","Sandwiches","0.91178787","American (New)","0.66949016"
"k1QpHAkzKTrFYfk6uVgQ","Pizza","1.5575294","Venues & Event Spaces","0.9467945","Barbeque","0.9322158"
"mnwRtuVQEsIUomBchu0gwg","Breakfast & Brunch","1.3735938","Event Planning & Services","0.9541816","Venues & Event Spaces","0.92970574"
"1d6c6Q2j2jwVzBfXdLHlg","Salad","1.1132398","Venues & Event Spaces","0.79366827","Asian Fusion","0.69844615"
"dNr7VKRti8dXWEjzfVBtQ","Venues & Event Spaces","1.11681","Cafes","0.7930167","Bars","0.74146307"
"PVTfzxu7of57zo1jZwEzkg","Event Planning & Services","1.3870721","Venues & Event Spaces","1.279188","American (New)","1.0800135"
"RtnTbhWYw4QjKhoTBV37OA","Venues & Event Spaces","1.1655643","Event Planning & Services","1.137062","Arts & Entertainment","0.98529726"
"u73j2VQ3TGWdMOAG7MABw","Venues & Event Spaces","1.1290424","Coffee & Tea","1.0030636","Event Planning & Services","0.9775274"
"7cK9uEV09iPmsTqOqmY3kQ","Grocery","2.0846074","Pizza","1.474115","Event Planning & Services","0.91244286"
"moZpwq1hNxCuJRpfupOTA","Mexican","1.5457978","American (New)","1.4401544","American (Traditional)","0.9179865"
"64dfRmMmUsOdLnkBOtzp4w","Arts & Entertainment","1.1809952","Mexican","0.9525349","American (Traditional)","0.9139867"
"GIhzzb9tjqLCYdNPk3dQ","Venues & Event Spaces","3.7705662","Arts & Entertainment","2.8622189","Gas Stations","2.8117268"
"ElWzx5fU8S2G45OnMHpA","Venues & Event Spaces","2.1419232","Breakfast & Brunch","1.3403428","Event Planning & Services","1.1225454"
"RwlumSqNBunw1a1LXccN8A","Breakfast & Brunch","1.9433045","Coffee & Tea","0.87940735","American (Traditional)","0.67435086"
"ZCzey5aPhd7jYIoHsUfjmQ","Asian Fusion","4.3245015","Chinese","1.0242673","Event Planning & Services","0.97339493"
"Lz6QUlFkVKtnzSISk0WUPw","Seafood","2.3764615","Event Planning & Services","0.84156144","Cafes","0.7930167"
"8Zqh2jwtncA3N4fWEMTvZQ","Breakfast & Brunch","1.8564395","Coffee & Tea","1.5894439","American (Traditional)","0.89965224"
"5eKpgro9LxPYDoRVJnEA","Breakfast & Brunch","2.0704021","Coffee & Tea","2.0454369","Japanese","1.9700994"
"TkEMlu88OZn9TKZyeY9CJg","Steakhouses","2.46866","Event Planning & Services","1.4079322","Arts & Entertainment","1.3343903"
"LYgAfvpMQU6JqBcTXgSw","Barbeque","1.600378","Home Services","0.6261021","Steakhouses","0.49565926"
"uKKNw68mZZaa1jcyszEbyA","Coffee & Tea","2.2766733","Breakfast & Brunch","1.3260442","Cafes","0.94797456"
"90bL34o2KEes9pUnCOm7pQ","Venues & Event Spaces","1.6061931","Event Planning & Services","1.43096","Salad","1.1263274"
"XMMLRvV4IMxIGyc4H37LxA","Mediterranean","0.93582636","Asian Fusion","0.8555982","Coffee & Tea","0.80236423"
"N5B7OBTyNGgwUY2fwNcyw","Cafes","1.7647674","Coffee & Tea","1.2577713","Breakfast & Brunch","0.9361765"
"plWuv4gda7m0KlqCNhrb4w","Arts & Entertainment","2.0292265","Event Planning & Services","0.7508914","Venues & Event Spaces","0.71295345"
"fT6Uwl6abRQfiNgxreqbg","Asian Fusion","4.1251583","Japanese","3.1124988","Cafes","1.2296718"
"wHVWfCa6koeiJXAu78e1g","Gas Stations","2.0470243","Barbeque","1.7694415","Home Services","0.78766954"
"9vGmNrEcLWFOnUzeUdfag","Barbeque","1.773484","Arts & Entertainment","0.8139448","Home Services","0.74100995"
"C2BR0TjNacoNzItPLUHTAA","Seafood","1.1831833","Asian Fusion","0.6135917","Restaurants","0.30304202"
"r5PLDU4mSbde5XekTXSCA","Grocery","2.60403","Bakeries","2.390819","Sandwiches","2.082107"
"cTZmf7B4yciMc1WKiCVOA","Venues & Event Spaces","1.0877445","Arts & Entertainment","0.9965036","Sandwiches","0.7683462"
"EDcZRvERC22Cvw1yi4VKg","American (Traditional)","1.1106288","Event Planning & Services","1.0923498","American (New)","0.9866979"
"ArmAaGCdCVAlkhdtaT6RzQ","Burgers","1.7368428","American (Traditional)","0.53392994","Event Planning & Services","0.5099809"
"FLnsWAa4AGEW4NgE8Fqew","Breakfast & Brunch","2.1378422","Coffee & Tea","1.3851626","Venues & Event Spaces","0.72412676"
"Yl05MqCs9xRzrJFkGWLpgA","Breakfast & Brunch","2.096899","Event Planning & Services","0.6038028","Arts & Entertainment","0.60003096"
"5FIOXmUE3qMviX9GafGHQ","American (New)","1.0898068","American (Traditional)","0.9741158","Arts & Entertainment","0.8439119"
"FI8LPGkc8Dhwx0l0zyyg","Mexican","1.4536965","American (Traditional)","1.0801207","Nightlife","1.047816"
"9a3DrZvpYxVs3kqwlCNSw","Venues & Event Spaces","1.6029264","Pizza","1.5159166","Event Planning & Services","1.0090675"
"JzOp695tclcNCNMuBl7oxA","Venues & Event Spaces","1.2034297","Bars","0.97157335","Arts & Entertainment","0.70113486"
"vK1qKEG7zHvjiTOsN0CRg","Breakfast & Brunch","2.125296","Coffee & Tea","1.0544859","Event Planning & Services","0.6659668"
"fKlr9qNoV37WQJwQ826POg","Steakhouses","2.12802","Venues & Event Spaces","1.0968432","Salad","1.0262604"
"j2bxctbED3zbfSaqhQmQ","Venues & Event Spaces","0.9374881","American (New)","0.6609669","Event Planning & Services","0.6173888"
"DPJPHJnXsuhYhsgBA0Xw","Steakhouses","2.5862777","Venues & Event Spaces","1.170223","American (Traditional)","0.8627291"
"1qwkbN3wu3AGDxMTXVz2gA","Event Planning & Services","2.974516","Arts & Entertainment","1.8863664","Venues & Event Spaces","1.7024102"
"0gXYLVPNWz0WT8wXQVpS0g","Arts & Entertainment","1.4754636","Breakfast & Brunch","1.1009961","Event Planning & Services","1.0122082"
"VyVIneSU7XAWgMBllI6LnQ","Barbeque","1.8797823","Caterers","1.5260514","Event Planning & Services","0.93289363"
"wUKzaS1MHg94RGM6z8u9mw","Mediterranean","2.2326126","Venues & Event Spaces","1.396749","Breakfast & Brunch","0.9742232"
"gQMAcDm8kv8ev7x2BshMwg","Asian Fusion","1.4366791","Event Planning & Services","1.1494883","Coffee & Tea","1.0730922"
"2GmGT7QjowR1ihup3FbVA","Mediterranean","2.6320279","Grocery","2.4949002","Coffee & Tea","0.9988484"
"wl0QZqAzr1DelslQ02JGCQ","American (Traditional)","1.171394","Nightlife","0.54418874","American (New)","0.49703783"
"MM8n7SPaIuMlDGbUM5SZhA","Venues & Event Spaces","1.4748486","Event Planning & Services","1.3414716","Home Services","1.155071"
"ZBfr1BHvArFp1d6XH8jOQ","Burgers","1.5349516","Gas Stations","1.1659927","Sandwiches","0.90483487"
"vsFFbN71ehRCp46KeR5RdQ","Breakfast & Brunch","1.7647047","Coffee & Tea","1.2358943","Event Planning & Services","0.69765025"
"LelAlfuj5oVRF9CQdWLsNQ","Breakfast & Brunch","1.4013046","Coffee & Tea","1.1840086","Event Planning & Services","0.77611935"
"J07TDs6qnTIaxm48EL1cKQ","Event Planning & Services","1.0202533","Venues & Event Spaces","0.9935307","Asian Fusion","0.85062957"
"YPavuOh2XsnRbLfl0DH2lQ","Coffee & Tea","1.3243169","Home Services","0.64650106","Event Planning & Services","0.5777355"
"UE3AvVnaPEBPneVahYT2eA","Venues & Event Spaces","1.0535604","American (New)","0.8346464","American (Traditional)","0.75991064"
"YSYDJTCt5kzY2kKnLNGRiA","Mexican","1.6730927","American (Traditional)","0.90719765","Event Planning & Services","0.859816"
"yNPh5SO7wr8HPpVCDPbXQ","Venues & Event Spaces","1.9954038","Event Planning & Services","1.5642114","American (New)","0.65156233"
